time,water_levelObs,water_levelFcst
9/24/2024 0:04,1.444839858,
9/24/2024 1:06,1.56227758,
9/24/2024 2:08,1.758007117,
9/24/2024 2:54,1.953736655,
9/24/2024 4:12,2.1886121,
9/24/2024 4:58,2.266903915,
9/24/2024 5:59,2.384341637,
9/24/2024 7:01,2.34519573,
9/24/2024 8:02,2.110320285,
9/24/2024 9:03,1.797153025,
9/24/2024 10:04,1.366548043,
9/24/2024 11:05,0.896797153,
9/24/2024 11:51,0.466192171,
9/24/2024 13:07,0.113879004,
9/24/2024 14:08,-0.081850534,
9/24/2024 15:10,-0.042704626,
9/24/2024 15:56,0.074733096,
9/24/2024 16:58,0.309608541,
9/24/2024 18:15,0.505338078,
9/24/2024 19:02,0.818505338,
9/24/2024 20:04,1.053380783,
9/24/2024 21:21,1.327402135,
9/24/2024 22:07,1.40569395,
9/24/2024 23:09,1.523131673,
9/25/2024 0:11,1.640569395,
9/25/2024 1:12,1.71886121,
9/25/2024 1:59,1.836298932,
9/25/2024 3:16,1.914590747,
9/25/2024 4:18,2.071174377,
9/25/2024 5:04,2.110320285,
9/25/2024 6:05,2.266903915,
9/25/2024 7:07,2.462633452,
9/25/2024 8:09,2.384341637,
9/25/2024 9:10,2.306049822,
9/25/2024 10:11,2.149466192,
9/25/2024 11:13,1.836298932,
9/25/2024 12:13,,1.327402135
9/25/2024 13:14,,0.896797153
9/25/2024 14:00,,0.544483986
9/25/2024 15:01,,0.387900356
9/25/2024 16:03,,0.231316726
9/25/2024 17:04,,0.348754448
9/25/2024 18:06,,0.544483986
9/25/2024 19:08,,0.857651246
9/25/2024 19:55,,1.24911032
9/25/2024 21:12,,1.483985765
9/25/2024 21:59,,1.797153025
9/25/2024 23:00,,1.992882562
9/26/2024 0:18,,2.1886121
9/26/2024 1:04,,2.306049822
9/26/2024 2:06,,2.34519573
9/26/2024 3:07,,2.423487544
9/26/2024 4:09,,2.736654804
9/26/2024 5:11,,3.010676157
9/26/2024 6:13,,3.362989324
9/26/2024 7:00,,3.637010676
9/26/2024 8:17,,3.911032028
9/26/2024 9:19,,4.106761566
9/26/2024 10:05,,4.263345196
9/26/2024 11:22,,4.302491103
9/26/2024 12:08,,4.145907473
9/26/2024 13:09,,3.989323843
9/26/2024 14:11,,3.832740214
9/26/2024 15:27,,3.715302491
9/26/2024 16:29,,3.715302491
9/26/2024 17:16,,4.145907473
9/26/2024 18:18,,4.8113879
9/26/2024 19:06,,5.90747331
9/26/2024 20:24,,6.964412811
9/26/2024 21:12,,7.864768683
9/26/2024 22:30,,8.569395018
9/26/2024 23:31,,8.451957295
9/27/2024 0:16,,7.864768683
9/27/2024 1:01,,7.120996441
9/27/2024 2:17,,6.142348754
9/27/2024 3:17,,5.163701068
9/27/2024 4:02,,4.185053381
9/27/2024 5:18,,3.441281139
9/27/2024 6:03,,3.010676157
9/27/2024 7:05,,2.932384342
9/27/2024 8:22,,3.167259786
9/27/2024 9:09,,3.402135231
9/27/2024 10:10,,3.519572954
9/27/2024 11:12,,3.402135231
9/27/2024 12:13,,3.167259786
9/27/2024 12:58,,2.736654804
9/27/2024 14:15,,2.1886121
9/27/2024 15:15,,1.640569395
9/27/2024 16:01,,1.131672598
9/27/2024 17:17,,0.779359431
9/27/2024 18:03,,0.622775801
9/27/2024 19:05,,0.661921708
9/27/2024 20:07,,0.896797153
9/27/2024 21:09,,1.288256228
9/27/2024 21:55,,1.601423488
9/27/2024 23:13,,1.953736655
9/27/2024 23:59,,2.1886121
9/28/2024 1:01,,2.227758007
9/28/2024 2:02,,2.266903915
9/28/2024 3:04,,2.149466192
9/28/2024 4:21,,2.071174377
9/28/2024 5:07,,1.914590747
9/28/2024 6:08,,1.87544484
9/28/2024 7:10,,2.071174377
9/28/2024 8:12,,2.1886121
9/28/2024 8:58,,2.423487544
9/28/2024 10:15,,2.619217082
9/28/2024 11:17,,2.775800712
9/28/2024 12:18,,2.736654804
9/28/2024 13:20,,2.619217082
9/28/2024 14:06,,2.34519573
9/28/2024 15:06,,1.87544484
9/28/2024 16:07,,1.40569395
9/28/2024 17:08,,1.014234875
9/28/2024 17:54,,0.818505338
9/28/2024 19:26,,0.701067616
9/28/2024 20:13,,0.857651246
9/28/2024 20:59,,1.053380783
9/28/2024 22:17,,1.444839858
9/28/2024 23:03,,1.679715302
9/29/2024 0:05,,1.992882562
9/29/2024 1:07,,2.1886121
9/29/2024 1:53,,2.110320285
